Cliente,Cred_perd,Cred_PF,Electronico,Monto_prom,Saldo,Ing_tot
567950,0,0,7,500.3425064,9.900054239,1000.685013
567978,1,0,5,1785.660328,0,-85
568023,0,1,7,1537.032406,64.41079518,34
568032,1,1,21,577.1898008,184.4656227,29
568069,0,0,1,1845.462259,172.4056218,39
568078,0,1,3,1430.943073,83.50525539,4292.829219
568087,0,0,9,1133.23913,147.2530954,21
568108,1,0,4,499.7344266,80.18204448,-15
568144,0,0,9,1475.22178,0,24
568180,1,0,1,2075.104961,146.1956687,-64
568199,1,4,6,1734.747169,54.00169775,6938.988675
568247,0,1,13,1986.366097,199.4604814,24
568274,0,1,21,1571.742866,0,46
568313,1,0,10,1688.231266,2.862484928,-93
568386,1,0,10,470.5688897,0,-48
568395,1,1,8,1517.308834,0,-62
568416,1,1,16,509.9571518,4.999626541,-8
568434,1,1,8,1607.263759,42.33161798,37
568443,0,0,17,1643.871483,0,26
568452,1,1,15,455.3085213,0.667103975,-32
568470,0,0,12,534.754437,0,26
568500,0,0,15,556.3942684,133.6455068,38
568519,0,0,5,1275.918866,35.69434006,20
568528,0,0,15,1532.440791,28.78222704,48
568546,1,1,11,414.3770283,158.6751923,9
568564,0,1,10,1835.416764,24.50676835,3670.833528
568573,1,0,4,505.0796617,0,14
568612,1,1,12,926.4605696,102.6973348,28
568621,1,2,11,1598.816497,173.2295793,1598.816497
568630,1,0,15,1539.072544,0,-5
568685,0,1,4,1462.421592,26.89239349,35
568724,1,1,18,1403.955251,46.73786494,-41
568733,1,1,1,1762.640374,0,40
568779,1,0,15,1253.656431,0,-7
568788,0,1,18,1744.411016,0,33
568797,0,1,13,1413.637778,139.205308,14
568809,0,0,7,1592.036148,0,7
568818,2,2,9,1421.584656,0,-97
568836,2,2,7,1611.103473,0,-32
568890,1,1,18,1591.156123,69.28981999,22
568911,0,1,6,2225.852058,0,23
568920,2,2,23,1651.117126,0,1651.117126
568948,1,1,12,1766.622184,0,-13
569039,0,0,12,1055.094003,0,34
569066,1,0,21,1750.230221,0,-4
569084,1,0,8,537.9580562,47.35916513,537.9580562
569093,0,0,11,529.5395083,0,19
569114,0,0,8,532.8633195,0,2
569123,0,0,5,458.6087927,72.06230899,50
569196,0,1,19,533.4059352,0,12
569244,0,0,20,501.3943293,0,3
569299,1,0,16,477.3175939,186.7615342,2
569329,0,0,1,1398.342411,151.4679833,13
569338,1,1,16,486.9054262,0,486.9054262
569365,0,1,15,1773.066725,81.33086132,23
569413,0,0,10,1842.302345,129.4499504,13
569422,0,1,1,1403.074634,0,50
569440,1,0,7,1466.017565,0,-16
569459,1,0,18,449.5697878,166.1096165,-80
569468,0,0,11,1855.664621,134.9510243,34
569477,1,0,3,1604.966186,191.698307,10
569486,0,0,18,1910.47793,156.1038408,25
569495,1,0,17,1384.378844,0,1384.378844
569543,0,1,11,1743.591023,158.3494533,3487.182047
569570,1,1,2,512.1349805,76.99608473,-87
569598,1,0,7,492.4946885,5.149701127,-38
569600,0,0,18,1367.713044,120.9552455,16
569637,1,0,4,1763.653616,177.9399829,13
569655,0,0,13,1577.800251,66.82397216,4733.400752
569664,1,0,5,470.6087755,0,4
569712,0,1,12,1613.362366,6.785540451,12
569730,1,1,10,510.8355442,192.5514496,510.8355442
569758,1,1,1,511.5226385,0,-76
569767,1,0,5,515.0077271,0,-30
569776,0,0,14,1959.587785,0,10
569815,1,1,19,1743.208117,0,-43
569824,0,0,13,1410.083172,0,15
569833,0,0,14,1837.623017,183.0331113,26
569879,1,1,5,460.166561,0,-29
569888,1,0,11,525.3540716,0,-19
569909,0,0,7,2047.556524,0,45
569954,1,0,13,501.0758748,7.437286789,23
569963,2,2,4,508.2909779,0,-14
569981,1,0,4,1267.106079,132.8323899,-67
570017,2,3,23,1865.926386,107.737648,1865.926386
570035,1,1,22,1790.62249,0,1790.62249
570062,0,1,1,1493.061551,0,33
570110,0,1,20,2301.6847,0,6905.054101
570147,2,0,5,1338.555837,7.648949943,28
570165,1,0,15,1347.297939,0,-54
570174,0,0,14,484.5344961,86.83835917,23
570213,0,0,7,528.2537105,45.13365261,1056.507421
570259,1,0,3,2026.91322,0,-63
570268,1,1,9,1293.915604,111.8344581,-96
570277,1,0,10,537.1498511,0,-40
570286,0,0,13,1290.360647,23.45557523,2580.721293
570295,0,0,16,491.6095785,155.6328293,35
570316,1,1,5,492.4658888,55.65318237,13
570325,1,1,17,1074.930445,0,-8
570352,0,1,11,538.9905852,0,1077.98117
570398,1,0,6,1321.800498,0,-24
570400,0,1,12,1089.006416,167.3563403,3
570464,1,0,2,488.8876339,0,-70
570473,1,1,16,497.2356541,0,-98
570482,1,1,4,2418.764979,0,4837.529959
570491,0,1,20,1748.399158,0,7
570521,1,0,21,1406.483539,0,17
570549,0,1,15,476.741759,171.0195689,28
570594,0,0,16,494.3313316,72.5814135,49
570624,1,0,10,526.2332791,56.43195499,25
570660,1,1,8,453.9902573,43.89679898,-42
570688,1,0,14,458.2600414,24.30056164,32
570697,1,1,6,1195.423035,0,31
570709,3,6,27,1640.685583,0,8203.427915
570718,0,1,13,1600.136878,0,3
570772,1,1,18,502.3459029,131.2863252,-44
570811,0,0,18,1687.126532,0,47
570875,0,0,14,1431.567861,151.8158927,36
570923,1,0,16,527.0312343,0,-28
570932,0,0,10,470.3639887,0,8
570941,0,0,6,1673.335545,0,33
570950,0,0,3,2106.609606,0,26
570969,0,0,7,474.649482,0,38
570978,1,2,8,1585.20382,0,1585.20382
570996,1,0,19,1308.449354,0,-78
571023,0,0,13,1277.49551,0,4
571050,0,0,1,2176.242371,80.33227253,21
571078,1,1,18,1158.908807,0,36
571087,1,1,2,1561.777138,0,-42
571096,1,0,13,1665.118107,41.05877815,-35
571117,0,0,10,1507.735341,197.7702976,41
571126,0,0,20,473.5315615,0,947.063123
571135,0,1,9,1971.635194,7.984226206,5
571144,0,1,11,1707.931059,173.5944094,48
571153,1,0,16,1777.581823,178.5114834,31
571162,1,0,14,418.4629444,0,-89
571171,1,1,19,482.0744646,0,-18
571201,1,1,7,1632.518105,55.16601777,-5
571210,1,1,17,1748.621471,0,-3
571229,1,1,15,2180.080499,0,30
571238,0,0,4,799.0437494,0,44
571247,0,0,3,1499.382475,159.0809061,4498.147425
571283,1,1,14,1999.383925,132.9755322,16
571304,0,0,9,1586.563691,0,4759.691072
571322,1,0,2,493.6848426,0,48
571331,1,1,14,1718.301443,0,-45
571340,0,0,8,2144.574849,0,12867.44909
571359,0,0,3,1609.794906,0,48
571368,1,1,5,488.4114659,158.9864493,-37
571377,0,1,11,563.6550375,0,50
571386,0,0,4,529.9142464,10.2432662,7
571443,0,2,23,1799.479806,0,5398.439417
571500,2,1,15,1311.204092,146.990361,-20
571519,0,2,5,1215.282005,0,3645.846015
571546,0,0,16,1590.246803,0,48
571573,1,0,3,1521.512819,73.79332169,3043.025638
571582,0,0,14,462.1456869,0,47
571603,0,0,14,1644.871569,19.01966501,41
571621,0,0,12,561.8117954,0,32
571649,2,0,4,1896.227035,10.59188879,1896.227035
571724,0,1,4,493.8084214,0,987.6168428
571733,1,3,16,1545.786002,4.889187754,3091.572005
571742,2,2,9,485.6571492,181.1348007,-4
571751,1,0,9,484.0399437,0,-4
571836,1,1,8,882.8968728,112.2595935,-6
571863,1,1,6,479.0120572,0,-72
571872,1,0,5,480.1425441,111.9431983,-1
571890,0,0,5,1359.955974,0,4079.867923
571902,1,0,1,507.0208769,0,-33
571939,1,1,11,434.0970447,0,434.0970447
571948,1,1,3,1772.529492,0,-23
571957,0,1,5,484.5141085,0,1
571993,1,0,20,1852.738231,0,-11
572011,1,0,2,521.3816163,0,-46
572020,2,2,3,494.2978924,58.54708024,-25
572039,1,0,16,1300.525193,170.1918861,-100
572057,1,0,6,535.3034176,0,-3
572066,1,1,6,1501.553012,0,15
572132,1,0,14,1763.643761,48.62579779,-5
572141,0,0,13,483.6136873,0,49
572150,1,0,12,934.4198588,24.03167,26
572196,0,0,8,1454.004084,0,33
572208,1,1,12,1140.30663,0,-50
572244,1,1,20,1356.36965,153.1731823,-59
572253,0,0,5,496.7138127,0,21
572329,1,1,21,1713.8056,0,-1
572347,1,1,15,467.4882581,0,15
572356,0,0,20,1627.06648,37.07703029,22
572365,0,1,12,1616.162073,34.35807463,14
572383,1,3,23,1763.765256,0,3527.530511
572392,1,1,13,518.3598226,0,-39
572404,1,0,15,1863.112614,0,-36
572413,0,0,18,1691.248629,63.41208267,48
572431,0,0,13,518.7580756,123.774621,1037.516151
572477,1,0,20,1155.343505,154.8407208,21
572486,0,0,20,1162.372289,0,26
572516,1,0,4,502.5920864,0,-5
572525,1,0,10,1123.733413,123.6243983,1123.733413
572589,1,1,17,480.7782899,110.1388054,-12
572600,0,0,12,1356.360741,0,15
572619,0,1,14,1078.393118,0,18
572655,1,1,12,1415.778089,123.4643058,23
572664,0,0,9,472.2639026,43.87797496,37
572691,2,0,9,1833.22392,144.0218283,7332.895681
572712,1,0,5,485.6244309,72.94303163,-53
572824,0,0,10,2119.642768,57.61993964,2
572851,0,0,16,2200.674247,171.1483482,10
572879,1,1,6,1447.180091,0,-33
572909,1,1,11,482.8453232,47.9317123,1
572954,1,0,3,1673.298904,72.23088895,40
572963,1,1,18,515.5088018,170.6978068,-8
572990,1,0,16,507.9017741,0,22
573045,0,0,3,2061.220414,45.16387197,31
573054,1,0,6,439.5452451,0,-28
573063,3,3,3,1579.56569,7.724521509,22
573081,0,0,6,512.7067853,0,17
573090,0,0,18,1544.538211,0,3
573120,0,0,6,1026.723622,0,2053.447244
573157,1,1,14,1642.291248,128.9926289,27
573175,1,1,19,1170.64016,0,-49
573193,0,1,18,1265.535171,0,9
573250,0,0,15,522.4699363,0,45
573269,0,0,18,2015.521749,185.0824515,4031.043497
573308,0,0,6,2032.612375,115.1387219,39
573335,1,0,2,1387.456901,0,-76
573344,1,0,12,1721.290806,0,-66
573353,1,1,4,1424.509688,0,-57
573362,1,0,21,498.5571328,178.8073052,-66
573371,1,0,5,497.1011176,0,30
573399,1,0,19,1961.981111,67.3151543,-27
573483,1,1,21,566.2472279,72.11710557,33
573492,0,1,3,485.1279584,0,42
573513,1,0,13,1934.332394,179.640652,-96
573522,1,1,5,1928.62764,0,-49
573568,1,1,7,557.2640126,168.0987248,-56
573595,4,6,6,1623.497164,0,3246.994327
573616,1,0,14,505.7045682,199.4976486,-86
573652,0,0,1,1138.308205,0,47
573661,1,0,12,503.2117344,0,32
573728,0,0,14,1346.70896,85.30331333,38
573773,1,1,5,515.399179,122.3575568,-44
573803,1,1,19,1230.958386,142.4142036,1230.958386
573812,0,0,11,524.2723828,0,39
573830,1,0,8,2429.568087,0,32
573849,0,0,19,1287.667068,92.66434999,43
573867,0,0,3,1873.498355,158.4126412,3746.996711
573876,1,1,11,517.1115012,183.8019111,50
573894,0,0,21,1543.219898,90.47102349,3086.439795
573915,1,0,16,503.5667919,188.2190535,-51
573924,0,0,19,1645.948034,78.56625673,11
573951,0,1,11,1371.612031,90.06835646,9
573960,1,0,3,2263.707414,0,28
574015,0,0,16,1683.582242,20.78469104,3367.164484
574024,1,1,17,460.9335922,0,-14
574033,1,0,3,492.9925931,0,-45
574042,1,0,5,480.2317458,37.31382661,36
574079,0,1,6,1856.219674,192.5830849,12
574097,1,1,19,494.082448,0,-61
574109,1,1,13,1440.818397,0,26
574118,1,1,7,1658.827415,0,36
574136,1,1,12,517.2537711,135.4603651,-69
574154,1,0,20,463.6442126,170.7547475,20
574172,1,1,1,1233.594264,0,-2
574181,0,0,18,474.1458133,0,25
574202,1,1,18,532.5202708,0,-95
574239,1,1,13,1973.577451,0,-22
574248,0,0,12,1612.429846,0,13
574257,1,1,12,1510.26364,87.64769544,-11
574275,1,0,18,1802.287241,163.2110402,-15
574314,1,1,13,523.5509601,117.3932129,-96
574332,1,1,7,455.8806957,134.6228509,32
574350,0,1,10,536.7524784,189.7813806,27
574369,1,3,9,1653.7509,0,3307.501799
574387,1,0,3,1531.456468,0,-67
574408,0,1,17,1509.297949,0,3
574480,1,1,20,506.3733945,124.0512957,-42
574499,0,1,16,938.1891004,0,30
574501,1,1,13,499.6663072,0,-8
574510,1,1,7,565.1312161,0,-87
574547,1,1,18,451.2770929,0,-86
574556,0,0,5,1921.444384,0,3842.888768
574574,1,1,9,1364.524506,0,-54
574583,1,1,10,1558.587911,160.5907874,1558.587911
574592,1,0,11,1070.439523,0,-27
574631,1,0,10,2195.404878,0,-49
574640,0,1,1,1474.897228,0,49
574668,0,1,15,2161.483395,0,23
574677,1,1,21,495.9323741,0,-90
574686,0,1,12,2062.574118,0,46
574725,0,0,3,1456.320954,0,10
574734,1,1,5,1448.170278,0,21
574743,1,1,19,481.4111337,121.8780851,-26
574770,1,0,2,1249.041399,70.48007263,1249.041399
574798,0,0,20,1174.98308,0,2349.966159
574800,0,0,9,487.633971,25.45560766,49
574819,1,1,7,504.7994243,70.02081027,-34
574846,0,0,13,1200.916505,182.0392803,12
574855,0,0,10,1060.275068,113.6721934,10
574891,1,0,10,526.3081253,0,49
574903,1,1,11,474.4919674,0,20
574949,1,0,1,1482.349835,0,-31
574976,2,2,14,490.2407539,22.04038763,-80
574985,1,1,12,511.2795312,0,-84
575030,1,1,15,1971.237089,0,-51
575067,0,0,9,1386.514511,136.9687427,26
575076,1,1,19,1940.747279,0,-59
575151,1,0,18,463.0967171,26.01673762,-73
575197,1,1,2,517.7260679,101.9042196,-13
575227,1,1,6,1589.629402,198.155131,-75
575236,1,0,9,1639.086261,0,-7
575245,0,0,18,468.2757599,109.192802,0
575254,1,1,12,1416.298057,0,-78
575272,1,0,11,1044.25889,69.33484755,40
575281,1,0,3,1973.106858,119.7876063,-94
575290,1,1,2,413.9498687,0,-88
575339,2,2,22,1422.10456,0,-58
575348,0,1,3,1179.154809,0,44
575366,0,0,4,1709.44924,0,6
575384,1,1,18,513.5157802,0,-6
575393,0,1,20,466.576264,17.88894807,22
575405,1,0,6,499.0038417,54.72196403,2
575478,0,1,2,1607.866621,0,3
575517,1,5,21,1150.69571,24.07013502,4602.782841
575553,0,0,13,1406.74656,150.4010237,11
575599,0,0,13,1694.736521,44.69942375,8
575601,1,1,8,1076.549739,0,-55
575638,1,1,14,494.8009925,0,18
575656,0,0,2,1540.840868,138.7784637,12
575665,1,1,11,474.9167953,0,-88
575683,0,0,20,507.3332694,166.7794907,12
575704,1,0,18,455.1504752,32.23614559,25
575731,1,0,11,1873.638889,0,-23
575759,0,0,18,505.6029381,21.90970664,14
575768,1,0,10,1745.337375,0,17
575816,1,2,12,505.4880122,0,505.4880122
575928,1,1,1,463.5602179,174.8874423,-19
